FBgn	Revised_Orthology
FBgn0000330	111111111111
FBgn0000337	111111111111
FBgn0000338	111111111111
FBgn0000339	111111111111
FBgn0000340	111111111111
FBgn0000346	111111111111
FBgn0000351	111111111111
FBgn0000352	111111111111
FBgn0000355	111111111111
FBgn0000356	111111111111
FBgn0000357	111111111111
FBgn0000358	111111111111
FBgn0000359	111111111111
FBgn0000360	11A111111111
FBgn0000363	111111111111
FBgn0000368	111111111111
FBgn0000370	111111111111
FBgn0000376	111111111111
FBgn0000377	111111111111
FBgn0000382	111111111111
FBgn0000392	111111111111
FBgn0000394	111111111111
FBgn0000395	111111111111
FBgn0000404	111111111111
FBgn0000405	111111111111
FBgn0000406	111111111111
FBgn0000408	111111111111
FBgn0000409	111111111111
FBgn0000410	111111111111
FBgn0000411	111111111111
FBgn0000412	11A111111111
FBgn0000413	111111111111
FBgn0000414	111111111111
FBgn0000416	111111111111
FBgn0000422	111111111111
FBgn0000425	11110AAAAAAA
FBgn0000426	111111111111
FBgn0000427	111111111111
FBgn0000439	111111111111
FBgn0000442	111111111111
FBgn0000447	111111111111
FBgn0000448	111111111111
FBgn0000449	111111111111
FBgn0000451	111111111111
FBgn0000454	111111111111
FBgn0000455	111111111111
FBgn0000459	11A111111111
FBgn0000462	111111111111
FBgn0000463	111111111111
FBgn0000464	111111111111
FBgn0000472	111111111111
FBgn0000473	111111111111
FBgn0000477	111111111111
FBgn0000479	111111111111
FBgn0000482	111111111111
FBgn0000486	111111111111
FBgn0000487	111111111111
FBgn0000489	1A11111111X1
FBgn0000490	111111111111
FBgn0000492	111111111111
FBgn0000497	111111111111
FBgn0000499	111111111111
FBgn0000500	111111111111
FBgn0000504	111111111111
FBgn0000520	111111111111
FBgn0000524	111111111111
FBgn0000527	111111111111
FBgn0000529	111111111111
FBgn0000533	111111111111
FBgn0000535	111111111111
FBgn0000536	111111111111
FBgn0000541	111111111111
FBgn0000542	111111111111
FBgn0000546	111111111111
FBgn0000547	111111111111
FBgn0000551	111111111111
FBgn0000552	111111111111
FBgn0000556	111111111111
FBgn0000557	111111111111
FBgn0000559	111111111111
FBgn0000560	1A1111111111
FBgn0000562	111111111111
FBgn0000564	111111111111
FBgn0000565	111111111111
FBgn0000566	111111111111
FBgn0000567	111111111111
FBgn0000568	111111111111
FBgn0000570	111111111111
FBgn0000575	111111111111
FBgn0000576	111111111111
FBgn0000577	111111111111
FBgn0000578	1111111A1111
FBgn0000579	111111111111
FBgn0000581	111111111111
FBgn0000588	111111111111
FBgn0000591	111111111111
FBgn0000592	111111111111
FBgn0000594	111111111111
FBgn0000606	11A111111111
FBgn0000611	111111111111
FBgn0000615	111111111111
FBgn0000617	111111111111
FBgn0000618	111111111111
FBgn0000625	111111111111
FBgn0000629	111111111111
FBgn0000630	111111111111
FBgn0000633	111111111111
FBgn0000634	111111111111
FBgn0000635	111111111111
FBgn0000636	111111111111
FBgn0000639	111111111111
FBgn0000640	111110111111
FBgn0000644	111111111111
FBgn0000658	111111111111
FBgn0000659	111111111111
FBgn0000662	111111111111
FBgn0000667	11A111111111
FBgn0000709	111111111111
FBgn0000711	1111111A1111
FBgn0000715	111111111111
FBgn0000719	111111111111
FBgn0000721	111111111111
FBgn0000723	111111111111
FBgn0000808	111111111111
FBgn0000810	111111111111
FBgn0000826	111111111111
FBgn0000927	111111111111
FBgn0000928	11A1110A1111
FBgn0000986	111111111111
FBgn0000996	111111111111
FBgn0001075	111111111111
FBgn0001077	111111111111
FBgn0001078	111111111111
FBgn0001079	111111111111
FBgn0001083	111111111111
FBgn0001084	111111111111
FBgn0001085	111111111111
FBgn0001086	111111111111
FBgn0001087	111111111111
FBgn0001090	1111111110A1
FBgn0001091	11A111111111
FBgn0001092	11A111111111
FBgn0001098	111111111111
FBgn0001104	111111111111
FBgn0001105	111111111111
FBgn0001108	111111111111
FBgn0001112	11A111111111
FBgn0001114	111111111111
FBgn0001122	111111111111
FBgn0001123	111111111111
FBgn0001128	1A1111111111
FBgn0001133	111111111111
FBgn0001134	111111111111
FBgn0001137	111111111111
FBgn0001138	111111111111
FBgn0001139	111111111111
FBgn0001142	111111111111
FBgn0001145	111111111111
FBgn0001147	111111111111
FBgn0001148	111111111111
FBgn0001149	111111111111
FBgn0001150	11A111111111
FBgn0001168	111111111110
FBgn0001169	111111111111
FBgn0001170	111111111111
FBgn0001179	111111111111
FBgn0001180	11A111111111
FBgn0001185	111111111111
FBgn0001186	111111111111
FBgn0001187	111111111111
FBgn0001189	111111111111
FBgn0001197	111111111111
FBgn0001202	111111111111
FBgn0001203	111111111111
FBgn0001204	111111111111
FBgn0001205	111111111111
FBgn0001208	111111111111
FBgn0001215	11A111111111
FBgn0001216	111111111111
FBgn0001217	111111111111
FBgn0001218	111111111111
FBgn0001219	111111111111
FBgn0001220	111111111111
FBgn0001222	111111111111
FBgn0001224	111111111111
FBgn0001225	111111111111
FBgn0001226	111111111111
FBgn0001227	111111111111
FBgn0001229	111111111111
FBgn0001230	111111111111
FBgn0001233	111111111111
FBgn0001235	111111111111
FBgn0001247	111111111111
FBgn0001248	111111111111
FBgn0001250	111111111111
FBgn0001253	111111111111
FBgn0001254	111111111111
FBgn0001255	111111111111
FBgn0001256	111111111111
FBgn0001257	111111111111
FBgn0001258	111111111111
FBgn0001259	111111111111
FBgn0001263	111111111111
FBgn0001269	111111111111
FBgn0001276	1111111A1111
FBgn0001280	111111111111
FBgn0001281	111111111111
FBgn0001291	111111111111
FBgn0001296	111111111111
FBgn0001297	111111111111
FBgn0001301	111111111111
FBgn0001308	111111111111
FBgn0001309	111111111111
FBgn0001311	111111111111
FBgn0001316	111111111111
FBgn0001319	111111111111
FBgn0001320	111111111111
FBgn0001321	111111111111
FBgn0001323	111111111111
FBgn0001324	111111111111
FBgn0001325	111111111111
FBgn0001330	111111111111
FBgn0001332	111111111111
FBgn0001337	11A111111111
FBgn0001341	111111111111
FBgn0001402	111111111111
FBgn0001404	111111111111
FBgn0001491	111111111111
FBgn0001565	111111111111
FBgn0001612	111111111111
FBgn0001624	111111111111
FBgn0001941	111111111111
FBgn0001942	111111111111
FBgn0001961	111111111111
FBgn0001965	111111111111
FBgn0001967	111111111111
FBgn0001970	111111111111
FBgn0001972	1A1111110000
FBgn0001974	111111111111
FBgn0001977	111111111111
FBgn0001978	111111111111
FBgn0001980	111111111111
FBgn0001981	111111111111
FBgn0001983	111111111111
FBgn0001986	111111111111
FBgn0001987	111111111111
FBgn0001989	111111111111
FBgn0001990	111110111111
FBgn0001991	111111111111
FBgn0001992	111111111111
FBgn0001994	111111111111
FBgn0001995	111111111111
FBgn0002021	111111111111
FBgn0002022	111111111111
FBgn0002023	111111111111
FBgn0002031	111111111111
FBgn0002036	111111111111
FBgn0002069	111111111111
FBgn0002121	111111111111
FBgn0002174	111111111111
FBgn0002183	111111111111
FBgn0002283	111111111111
FBgn0002284	111111111111
FBgn0002306	111111111111
FBgn0002354	111111111111
FBgn0002413	111111111111
FBgn0002431	111111111111
FBgn0002440	111111111111
FBgn0002441	111111111111
FBgn0002478	111111111111
FBgn0002521	11111AA11111
FBgn0002522	111111111111
FBgn0002524	111111111111
FBgn0002525	11A111111111
FBgn0002526	111111111111
FBgn0002527	1111111X1111
FBgn0002528	111111111111
FBgn0002531	111111111111
FBgn0002533	111111111111
FBgn0002534	111111111111
FBgn0002535	111111111111
FBgn0002542	111111111111
FBgn0002543	111111111111
FBgn0002552	111111111111
FBgn0002561	111111111111
FBgn0002562	111111111111
FBgn0002563	111111111111
FBgn0002564	111111111111
FBgn0002565	111111111111
FBgn0002567	111111111111
FBgn0002569	111111111111
FBgn0002570	111111111111
FBgn0002571	111111111111
FBgn0002573	111111111111
FBgn0002576	111111111111
FBgn0002577	111111111111
FBgn0002578	111111111111
FBgn0002579	111111111111
FBgn0002590	111111111111
FBgn0002592	111111111111
FBgn0002593	111111111111
FBgn0002607	11111111A111
FBgn0002609	111111111111
FBgn0002622	111111111111
FBgn0002626	111111111111
FBgn0002629	111111111111
FBgn0002631	111111111111
FBgn0002632	111111111111
FBgn0002633	111111111111
FBgn0002638	111111111111
FBgn0002641	111111111111
FBgn0002643	111111X11111
FBgn0002645	111111111111
FBgn0002652	111111111111
FBgn0002673	111111111111
FBgn0002707	111111111111
FBgn0002715	111111111111
FBgn0002719	111111111111
FBgn0002723	111111111111
FBgn0002732	111111111111
FBgn0002733	111111111111
FBgn0002734	111111111111
FBgn0002735	111111111111
FBgn0002736	111111111111
FBgn0002741	111111111111
FBgn0002772	111111111111
FBgn0002773	111111111111
FBgn0002774	111111111111
FBgn0002775	111111111111
FBgn0002777	111111111111
FBgn0002778	111111111111
FBgn0002780	111111111111
FBgn0002781	111111111111
FBgn0002783	111111111111
FBgn0002787	111111111111
FBgn0002789	111111111111
FBgn0002791	111111111111
FBgn0002855	111110AA0000
FBgn0002856	111111110000
FBgn0002862	11111XXXAXAA
FBgn0002863	111000000000
FBgn0002865	111111111111
FBgn0002868	111111111111
FBgn0002869	111111111111
FBgn0002872	111111111111
FBgn0002873	111111111111
FBgn0002878	11A111111111
FBgn0002891	11A111111111
FBgn0002901	111111111111
FBgn0002905	111111111111
FBgn0002906	111111111111
FBgn0002914	111111111A11
FBgn0002917	111111111111
FBgn0002920	111111111111
FBgn0002921	111111111111
FBgn0002922	111111111111
FBgn0002924	111111111111
FBgn0002926	111111111111
FBgn0002930	111111111111
FBgn0002931	111111111111
FBgn0002932	111111111111
FBgn0002933	1A0100111000
FBgn0002936	111111111111
FBgn0002938	111111111111
FBgn0002940	111111111111
FBgn0002941	111111111111
FBgn0002945	111111111111
FBgn0002948	11111111111X
FBgn0002962	111111111111
FBgn0002968	111111111111
FBgn0002970	111111111111
FBgn0002973	111111111111
FBgn0002985	111111111111
FBgn0002989	111111111111
FBgn0002997	111111111111
FBgn0003002	111111111111
FBgn0003008	111111111111
FBgn0003009	11111111A111
FBgn0003011	111111111111
FBgn0003013	111111111111
FBgn0003015	111111111111
FBgn0003016	111111111111
FBgn0003022	111111111111
FBgn0003023	111111111111
FBgn0003028	111111111111
FBgn0003031	111111111111
FBgn0003034	111111AA1AAA
FBgn0003036	111111111111
FBgn0003037	111111111111
FBgn0003041	111111111111
FBgn0003042	111111111111
FBgn0003044	111111111111
FBgn0003046	111111111111
FBgn0003048	111111111111
FBgn0003053	11A111111111
FBgn0003057	111111111111
FBgn0003060	111111111111
FBgn0003062	111111111111
FBgn0003065	111111111111
FBgn0003067	111111111111
FBgn0003068	11A111111111
FBgn0003071	111111111111
FBgn0003074	11A111111111
FBgn0003075	111111111111
FBgn0003076	111111111111
FBgn0003079	111111111111
FBgn0003082	111111111111
FBgn0003086	111111111111
FBgn0003087	111111110111
FBgn0003089	111111111111
FBgn0003090	111111111111
FBgn0003091	111111111111
FBgn0003093	111111111111
FBgn0003114	111111111111
FBgn0003116	111111111111
FBgn0003117	111111111111
FBgn0003118	111111111111
FBgn0003124	111111111111
FBgn0003129	11A111111111
FBgn0003130	111111111111
FBgn0003132	111101111111
FBgn0003134	111111111111
FBgn0003137	111111111111
FBgn0003138	111111111111
FBgn0003139	11A111111111
FBgn0003140	11A11111111X
FBgn0003141	111111111111
FBgn0003145	111111111111
FBgn0003149	111111111111
FBgn0003150	111111111111
FBgn0003151	111111111111
FBgn0003159	111111111111
FBgn0003162	111111111111
FBgn0003165	111111111111
FBgn0003169	111111111111
FBgn0003174	111111111111
FBgn0003175	111111111111
FBgn0003177	111111111111
FBgn0003178	111111111111
FBgn0003187	111111111111
FBgn0003189	111111111111
FBgn0003194	111111111111
FBgn0003200	111111111111
FBgn0003204	111111111111
FBgn0003205	111111111111
FBgn0003206	111111111111
FBgn0003209	111111111111
FBgn0003210	111111111111
FBgn0003217	111111111111
FBgn0003218	111111111111
FBgn0003227	111111111111
FBgn0003231	111111111111
FBgn0003244	111111111111
FBgn0003248	111111111111
FBgn0003249	11A111111111
FBgn0003250	111111111111
FBgn0003254	111111111111
FBgn0003255	111111111111
FBgn0003257	111A11111111
FBgn0003261	11A111111111
FBgn0003263	111111111111
FBgn0003267	111111111111
FBgn0003268	111111111111
FBgn0003270	111111111111
FBgn0003274	111111111111
FBgn0003275	111111111111
FBgn0003276	111111111111
FBgn0003277	111111111111
FBgn0003278	111111111111
FBgn0003279	111111111111
FBgn0003285	111111111111
FBgn0003292	111111111111
FBgn0003295	111111111111
FBgn0003300	111111111111
FBgn0003301	111111111111
FBgn0003302	111111111111
FBgn0003308	111111111111
FBgn0003310	111111111111
FBgn0003312	111111111111
FBgn0003313	11111011A001
FBgn0003317	111111111111
FBgn0003319	111111111111
FBgn0003321	111111111111
FBgn0003326	111111111111
FBgn0003328	111111111111
FBgn0003334	111111111111
FBgn0003339	111111111111
FBgn0003345	111111111111
FBgn0003346	111111111111
FBgn0003349	111111111111
FBgn0003353	111111A110AA
FBgn0003358	1A1111111000
FBgn0003360	111111111111
FBgn0003366	11A111111111
FBgn0003371	111111111111
FBgn0003372	11A111000XAA
FBgn0003373	11A111X100X0
FBgn0003374	111111A11000
FBgn0003375	11111111A11A
FBgn0003377	1111111100X0
FBgn0003378	1111111100X0
FBgn0003380	111111111111
FBgn0003383	111111111111
FBgn0003386	111111111111
FBgn0003388	111111111111
FBgn0003391	111111111111
FBgn0003392	111111111111
FBgn0003396	111111111111
FBgn0003401	111111111111
FBgn0003410	111111111111
FBgn0003411	111111111111
FBgn0003416	111111111111
FBgn0003423	111111111111
FBgn0003425	111111111111
FBgn0003429	111111111111
FBgn0003430	111111111111
FBgn0003432	111111111111
FBgn0003435	111111111111
FBgn0003444	111111111111
FBgn0003447	111111111111
FBgn0003448	111111111111
FBgn0003449	111111111111
FBgn0003450	111111111111
FBgn0003459	111111111111
FBgn0003460	11A111111111
FBgn0003462	111111111111
FBgn0003463	111111111111
FBgn0003464	111111111111
FBgn0003470	111111111111
FBgn0003471	111111111111
FBgn0003475	111111111111
FBgn0003480	111111111111
FBgn0003483	111111111111
FBgn0003495	111111111111
FBgn0003498	111111111111
FBgn0003499	111111111111
FBgn0003501	111111111111
FBgn0003502	111111111111
FBgn0003507	111111111111
FBgn0003510	111111111111
FBgn0003511	111111111111
FBgn0003512	111111111111
FBgn0003513	111111111111
FBgn0003514	111111111111
FBgn0003515	111111111111
FBgn0003517	111111111111
FBgn0003520	111111111111
FBgn0003525	111111111111
FBgn0003527	111111111111
FBgn0003545	111111111111
FBgn0003557	111111111111
FBgn0003567	111111111111
FBgn0003575	11A111111111
FBgn0003598	111111111111
FBgn0003600	111111111111
FBgn0003607	111111111111
FBgn0003612	111111111111
FBgn0003638	111111111111
FBgn0003651	111111111111
FBgn0003655	111111111111
FBgn0003656	111111111111
FBgn0003660	111111111111
FBgn0003676	111111111111
FBgn0003687	111111111111
FBgn0003691	111111111111
FBgn0003701	111111111111
FBgn0003710	111111111111
FBgn0003714	111111111111
FBgn0003715	111111111111
FBgn0003716	11A111111111
FBgn0003717	111111111111
FBgn0003719	111111111111
FBgn0003720	111111111111
FBgn0003721	111111111111
FBgn0003731	111111111111
FBgn0003732	111111111111
FBgn0003733	111111111111
FBgn0003738	111111111111
FBgn0003741	11111111AXXX
FBgn0003742	111111111111
FBgn0003744	111111111111
FBgn0003747	111111111111
FBgn0003748	111111111111
FBgn0003749	111111111111
FBgn0003751	1A1111111111
FBgn0003861	111111111111
FBgn0003862	111111111111
FBgn0003863	111111111111
FBgn0003865	1111111A1111
FBgn0003866	111111111111
FBgn0003867	111111111111
FBgn0003870	111111111111
FBgn0003882	111111111111
FBgn0003884	111111111111
FBgn0003885	111111111111
FBgn0003886	111111111111
FBgn0003887	111111111111
FBgn0003888	111111111111
FBgn0003889	111111111111
FBgn0003891	111111111111
FBgn0003892	111111111111
FBgn0003896	111111111111
FBgn0003900	111111111111
FBgn0003941	111111111111
FBgn0003942	111111111111
FBgn0003943	111111111111
FBgn0003944	111111111111
FBgn0003961	111111111111
FBgn0003963	111111111111
FBgn0003964	111111111111
FBgn0003965	111111111111
FBgn0003969	111111111111
FBgn0003970	111111111111
FBgn0003975	111111111111
FBgn0003977	111111111111
FBgn0003979	111111111111
FBgn0003980	111111111111
FBgn0003983	11A111111111
FBgn0003984	111111111111
FBgn0003986	111111111111
FBgn0003995	111111111111
FBgn0003996	111111111111
FBgn0003997	111111111111
FBgn0004002	111111111111
FBgn0004003	111111111111
FBgn0004009	11A111111111
FBgn0004028	11A111111111
FBgn0004034	111111111111
FBgn0004045	111111111111
FBgn0004047	11A111111111
FBgn0004050	111111111111
FBgn0004052	111111111111
FBgn0004053	111111111111
FBgn0004054	111111111111
FBgn0004055	111111111111
FBgn0004057	11A111111111
FBgn0004066	111111111111
FBgn0004087	111111111111
FBgn0004101	111111111111
FBgn0004102	111111111111
FBgn0004103	111111111111
FBgn0004106	111111111111
FBgn0004107	111111111111
FBgn0004108	111111111111
FBgn0004110	111111111111
FBgn0004117	111111111111
FBgn0004118	111111111111
FBgn0004132	111111111111
FBgn0004133	111111111111
FBgn0004143	11A1111X1111
FBgn0004145	111111111111
FBgn0004167	111111111111
FBgn0004168	111111111111
FBgn0004169	111111111111
FBgn0004170	111111111111
FBgn0004171	111111111111
FBgn0004172	111A1XAA1XXA
FBgn0004173	11AA1XAA1XXA
FBgn0004174	11AA1XAA1XXA
FBgn0004175	11AA1XAA1XXA
FBgn0004176	111111111111
FBgn0004177	111111111111
FBgn0004179	111111111111
FBgn0004181	111111110000
FBgn0004197	111111111111
FBgn0004198	111111111111
FBgn0004210	111111111111
FBgn0004227	11A111111111
FBgn0004228	111111111111
FBgn0004236	111111111111
FBgn0004237	11A111111111
FBgn0004240	111111111111
FBgn0004242	111111111111
FBgn0004243	111111111111
FBgn0004244	111111111111
FBgn0004359	111111111111
FBgn0004360	111111111111
FBgn0004362	111111111111
FBgn0004363	111111111111
FBgn0004364	111111111111
FBgn0004366	111111111111
FBgn0004367	111111111111
FBgn0004368	111111111111
FBgn0004369	111111111111
FBgn0004370	111111111111
FBgn0004372	111111111111
FBgn0004373	111111111111
FBgn0004374	111111111111
FBgn0004377	111111111111
FBgn0004378	111111111111
FBgn0004379	111111111111
FBgn0004380	111111111111
FBgn0004381	111111111111
FBgn0004387	111111111111
FBgn0004389	111111111111
FBgn0004390	111111111111
FBgn0004394	111111111111
FBgn0004395	111111111111
FBgn0004396	111111111111
FBgn0004397	111111111111
FBgn0004399	111111111111
FBgn0004400	1A1111111111
FBgn0004401	1A1111111111
FBgn0004403	111111111111
FBgn0004404	111111111111
FBgn0004406	111111111111
FBgn0004413	111111111111
FBgn0004414	111110AAA100
FBgn0004419	111111A11111
FBgn0004429	111111111111
FBgn0004430	111111111111
FBgn0004431	111111111111
FBgn0004432	111111101111
FBgn0004435	111111111111
FBgn0004436	111111111111
FBgn0004446	111111111111
FBgn0004449	111111111111
FBgn0004456	111111111111
FBgn0004461	111111111111
FBgn0004462	111111111111
FBgn0004463	111111111111
FBgn0004465	111111111111
FBgn0004493	111111111111
FBgn0004507	111111111111
FBgn0004509	111111111111
FBgn0004510	111111111111
FBgn0004511	111111111111
FBgn0004512	111111111111
FBgn0004513	111111111111
FBgn0004514	111111111111
FBgn0004516	111111111111
FBgn0004551	111111111111
FBgn0004552	111111111111
FBgn0004554	111111111111
FBgn0004556	111111111111
FBgn0004567	11A111111111
FBgn0004568	111111111111
FBgn0004569	111111111111
FBgn0004571	111111111111
FBgn0004572	111111111111
FBgn0004573	111111111111
FBgn0004574	111111111111
FBgn0004575	111111111111
FBgn0004577	111111111111
FBgn0004579	111111111111
FBgn0004580	111111111111
FBgn0004581	111111111111
FBgn0004583	111111111111
FBgn0004584	111111111111
FBgn0004586	111111111111
FBgn0004587	111111111111
FBgn0004588	111111111111
FBgn0004589	111111111111
FBgn0004590	111111111111
FBgn0004591	111111111111
FBgn0004592	111111000000
FBgn0004593	111111111111
FBgn0004594	111111111111
FBgn0004595	111111111111
FBgn0004597	111111111111
FBgn0004598	111111111111
FBgn0004603	111111111111
FBgn0004606	111111111111
FBgn0004607	111111111111
FBgn0004611	111111111111
FBgn0004618	111111111111
FBgn0004619	111111111111
FBgn0004620	111111111111
FBgn0004622	111111111111
FBgn0004623	111111111111
FBgn0004624	111111A11111
FBgn0004625	11A111111111
FBgn0004629	111111111111
FBgn0004635	111111111111
FBgn0004636	111111111111
FBgn0004638	111111111111
FBgn0004643	111111111111
FBgn0004644	111111111111
FBgn0004646	111111111111
FBgn0004647	111111111111
FBgn0004648	111111111111
FBgn0004649	111111111111
FBgn0004650	111111111111
FBgn0004652	111111111111
FBgn0004654	111111111111
FBgn0004655	111111111111
FBgn0004656	111111111111
FBgn0004657	111111111111
FBgn0004666	111111111111
FBgn0004687	111111111111
FBgn0004698	111111111111
FBgn0004777	111111111111
FBgn0004778	111111111111
FBgn0004779	111111111111
FBgn0004781	111111111111
FBgn0004783	111111111111
FBgn0004784	111111111111
FBgn0004795	111111111111
FBgn0004797	111111111111
FBgn0004811	111111111111
FBgn0004828	111111111111
FBgn0004832	11A111111111
FBgn0004834	111111111111
FBgn0004837	111111111111
FBgn0004838	111111111111
FBgn0004839	111111111111
FBgn0004841	111111111111
FBgn0004842	111111111111
FBgn0004852	111111111111
FBgn0004854	111110111111
FBgn0004855	111111111111
FBgn0004856	111111111111
FBgn0004858	111111111111
FBgn0004859	111111111111
FBgn0004860	111111111111
FBgn0004861	111111111111
FBgn0004862	111111111111
FBgn0004863	111111111111
FBgn0004864	111111111111
FBgn0004865	111111111111
FBgn0004867	111111111111
FBgn0004868	111111111111
FBgn0004870	111111111111
FBgn0004872	111111111111
FBgn0004873	111111111111
FBgn0004875	111111111111
FBgn0004876	111111111111
FBgn0004878	111111111111
FBgn0004879	111111111111
FBgn0004880	111111111111
FBgn0004882	111111111111
FBgn0004885	111111111111
FBgn0004888	111111111111
FBgn0004889	111111111111
FBgn0004892	111111111111
FBgn0004893	111111111111
FBgn0004895	111111111111
FBgn0004896	111111111111
FBgn0004897	111111111111
FBgn0004898	111111111111
FBgn0004901	111111111111
FBgn0004903	111111111111
FBgn0004907	111111111111
FBgn0004908	111111111111
FBgn0004910	111111111111
FBgn0004911	111110A000A0
FBgn0004913	111111111111
FBgn0004914	111111111111
FBgn0004915	111111111111
FBgn0004919	111111111111
FBgn0004921	111111111111
FBgn0004922	111111111111
FBgn0004924	111111111111
FBgn0004925	11111111111A
FBgn0004926	111111111111
FBgn0004956	111111111111
FBgn0004957	111111111111
FBgn0005198	111111111111
FBgn0005278	111111111111
FBgn0005322	111111111111
FBgn0005355	111111111111
FBgn0005386	111111111111
FBgn0005390	111111111111
FBgn0005391	111111111111
FBgn0005410	111111111111
FBgn0005411	111111111111
FBgn0005427	111111111111
FBgn0005533	111111111111
FBgn0005536	111111111111
FBgn0005558	111111111111
FBgn0005561	111111111111
FBgn0005563	111111111111
FBgn0005564	111111111111
FBgn0005585	111111111111
FBgn0005586	111111111111
FBgn0005590	111111111111
FBgn0005592	111111111111
FBgn0005593	111111111111
FBgn0005596	111111111111
FBgn0005612	111111111111
FBgn0005613	11A111111111
FBgn0005614	111111111111
FBgn0005616	11A111111111
FBgn0005617	111111111111
FBgn0005619	111111111111
FBgn0005624	11A111111111
FBgn0005626	111111111111
FBgn0005629	111111111111
FBgn0005630	111111111111
FBgn0005631	111111111111
FBgn0005632	111111111111
FBgn0005633	111111111111
FBgn0005634	111111111111
FBgn0005636	111111111111
FBgn0005638	111111111111
FBgn0005639	111111111111
FBgn0005640	111111111111
FBgn0005642	111111111111
FBgn0005648	111111111111
FBgn0005649	11A111111111
FBgn0005654	111111111111
FBgn0005655	111111111111
FBgn0005658	111111111111
FBgn0005659	111111111111
FBgn0005660	11A111111111
FBgn0005664	111111111111
FBgn0005666	111111111111
FBgn0005670	111111111111
FBgn0005671	111111111111
FBgn0005672	111111111111
FBgn0005674	111111111111
FBgn0005677	111111111111
FBgn0005683	111111111111
FBgn0005694	111111111111
FBgn0005695	111111111111
FBgn0005696	111111111111
FBgn0005771	111111111111
FBgn0005775	1111111A1111
FBgn0005776	111111111111
FBgn0005777	111111111111
FBgn0005778	111111110111
FBgn0005779	11111A111111
FBgn0008635	111111111111
FBgn0008636	111111111111
FBgn0008646	111111111111
FBgn0008649	111111111111
FBgn0008651	111111111111
FBgn0008654	11A111111111
FBgn0010014	111111111111
FBgn0010015	111111111111
FBgn0010019	111111111111
FBgn0010038	111111111111
FBgn0010039	111111111X1X
FBgn0010040	111111111111
FBgn0010041	111111111111
FBgn0010042	1A1111111X1X
FBgn0010043	111111111X1X
FBgn0010044	111111111111
FBgn0010051	111111111111
FBgn0010052	111111111111
FBgn0010053	111111111111
FBgn0010078	111111111111
FBgn0010083	111111111111
FBgn0010097	111111111111
FBgn0010100	111111111111
FBgn0010105	111111111111
FBgn0010109	111111111111
FBgn0010110	111111111111
FBgn0010113	111111111111
FBgn0010114	111111111111
